"X","eventLabel","totalEvents"
121,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/41101_DGPTR_AvanceTDT.csv",58
122,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/411X01_MexicoConectado.csv",10
123,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/51001_DGP_01_BDport_stats.csv",7
124,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/51101_DGMM_01_Matriculación 2014 completas.csv",2
125,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/51101_DGMM_01_Matriculación 2014 completas.csv",2
126,"http://datos.sct.gob.mx:8082/datos/datos/abiertos/51101_DGMM_02_MENORES A 100 M DE ESLORA.csv",3
130,"http://fs.planeacion.sep.gob.mx/cct/cct.zip",73
131,"http://fs.planeacion.sep.gob.mx/cct/cct01.csv",20
132,"http://fs.planeacion.sep.gob.mx/cct/cct02.csv",8
133,"http://fs.planeacion.sep.gob.mx/cct/cct03.csv",4
134,"http://fs.planeacion.sep.gob.mx/cct/cct04.csv",6
135,"http://fs.planeacion.sep.gob.mx/cct/cct05.csv",2
136,"http://fs.planeacion.sep.gob.mx/cct/cct06.csv",3
137,"http://fs.planeacion.sep.gob.mx/cct/cct07.csv",5
138,"http://fs.planeacion.sep.gob.mx/cct/cct08.csv",2
139,"http://fs.planeacion.sep.gob.mx/cct/cct09.csv",11
140,"http://fs.planeacion.sep.gob.mx/cct/cct10.csv",3
141,"http://fs.planeacion.sep.gob.mx/cct/cct11.csv",2
142,"http://fs.planeacion.sep.gob.mx/cct/cct12.csv",2
143,"http://fs.planeacion.sep.gob.mx/cct/cct13.csv",3
144,"http://fs.planeacion.sep.gob.mx/cct/cct14.csv",4
145,"http://fs.planeacion.sep.gob.mx/cct/cct15.csv",7
146,"http://fs.planeacion.sep.gob.mx/cct/cct16.csv",6
147,"http://fs.planeacion.sep.gob.mx/cct/cct17.csv",1
148,"http://fs.planeacion.sep.gob.mx/cct/cct18.csv",2
149,"http://fs.planeacion.sep.gob.mx/cct/cct19.csv",5
150,"http://fs.planeacion.sep.gob.mx/cct/cct20.csv",1
151,"http://fs.planeacion.sep.gob.mx/cct/cct21.csv",7
152,"http://fs.planeacion.sep.gob.mx/cct/cct22.csv",4
153,"http://fs.planeacion.sep.gob.mx/cct/cct23.csv",4
154,"http://fs.planeacion.sep.gob.mx/cct/cct24.csv",4
155,"http://fs.planeacion.sep.gob.mx/cct/cct25.csv",3
156,"http://fs.planeacion.sep.gob.mx/cct/cct26.csv",5
157,"http://fs.planeacion.sep.gob.mx/cct/cct27.csv",1
158,"http://fs.planeacion.sep.gob.mx/cct/cct28.csv",4
159,"http://fs.planeacion.sep.gob.mx/cct/cct29.csv",1
160,"http://fs.planeacion.sep.gob.mx/cct/cct30.csv",7
161,"http://fs.planeacion.sep.gob.mx/cct/cct31.csv",4
162,"http://fs.planeacion.sep.gob.mx/cct/cct32.csv",1
163,"http://fs.planeacion.sep.gob.mx/cct/servicio.csv",10
164,"http://fs.planeacion.sep.gob.mx/cct/sostenimiento.csv",14
165,"http://fs.planeacion.sep.gob.mx/cct/subnivel.csv",6
166,"http://internet.coneval.gob.mx/coordinacion/Documents/monitoreo/datos_abiertos/db.entidades2011.csv",9
167,"http://internet.coneval.gob.mx/coordinacion/Documents/monitoreo/datos_abiertos/db.entidades2013.csv",4
168,"http://internet.coneval.gob.mx/coordinacion/Documents/monitoreo/datos_abiertos/db.ind2010.csv",7
169,"http://internet.coneval.gob.mx/coordinacion/Documents/monitoreo/datos_abiertos/db.ind2012.csv",3
170,"http://internet.coneval.gob.mx/coordinacion/Documents/monitoreo/datos_abiertos/db.mir2008.csv",4
171,"http://internet.coneval.gob.mx/coordinacion/Documents/monitoreo/datos_abiertos/db.mir2010.csv",4
172,"http://internet.coneval.gob.mx/coordinacion/Documents/monitoreo/datos_abiertos/db.mir2012.csv",3
173,"http://licitaciones.cfe.gob.mx/Datos/CadenasProductivas.csv",8
174,"http://licitaciones.cfe.gob.mx/Datos/CapacidadEfectivaHistorico.csv",3
175,"http://licitaciones.cfe.gob.mx/Datos/CatalogodePuestosySalarios.csv",47
176,"http://licitaciones.cfe.gob.mx/Datos/ConsumoBrutoHistorico.csv",16
177,"http://licitaciones.cfe.gob.mx/Datos/ContratosdeBienesyServicios2014.csv",8
178,"http://licitaciones.cfe.gob.mx/Datos/DemandaMaximaBrutaHistorico.csv",2
179,"http://licitaciones.cfe.gob.mx/Datos/DistribuciondelaRedElectricaporCapacidad.csv",20
180,"http://licitaciones.cfe.gob.mx/Datos/ElectrificacionRural.csv",13
181,"http://licitaciones.cfe.gob.mx/Datos/EstadosFinancieros.csv",19
182,"http://licitaciones.cfe.gob.mx/Datos/IndicadoresOperativosCompromisosdeServicio.csv",7
183,"http://licitaciones.cfe.gob.mx/Datos/LocalizaciondeCentrosdeAtencion.csv",11
184,"http://licitaciones.cfe.gob.mx/Datos/PreciosCombustibles.csv",20
185,"http://licitaciones.cfe.gob.mx/Datos/ProductividadLaboral.csv",17
186,"http://plataforma.promexico.gob.mx/sys/gateway.aspx?UID=44201dbb-34c4-487a-92ea-2ce6f36e4644&formato=JSON",2
187,"http://plataforma.promexico.gob.mx/sys/gateway.aspx?UID=aeb31afe-aa16-4cea-a11f-33ebe1137657&formato=JSON",4
188,"http://plataforma.promexico.gob.mx/sys/gateway.aspx?UID=f2ea359b-a03d-456b-a01a-0f8afab41344",8
189,"http://smn.conagua.gob.mx/satelite/geotiff/ir4mexico_g13.gif",9
190,"http://smn.conagua.gob.mx/satelite/geotiff/ir4mexico_g13.png",4
191,"http://smn.conagua.gob.mx/satelite/geotiff/looppacatl.gif",7
192,"http://smn.conagua.gob.mx/satelite/geotiff/vismexico_g13.gif",6
193,"http://smn.conagua.gob.mx/satelite/geotiff/vismexico_g13.png",22
194,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=ECRUCAM&anioi=2013&aniof=2014&periodicidad=MENSUAL",3
195,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=ECRURA&anioi=2013&aniof=2014&periodicidad=MENSUAL",6
196,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=ECRURET&anioi=2013&aniof=2014&periodicidad=MENSUAL",8
197,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=EDISCRU&anioi=2013&aniof=2014&periodicidad=MENSUAL",10
198,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=EDISGN&anioi=2013&aniof=2014&periodicidad=MENSUAL",6
199,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=EGASCAM&anioi=2013&aniof=2014&periodicidad=MENSUAL",1
200,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=EGASRAI&anioi=2013&aniof=2014&periodicidad=MENSUAL",3
201,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=EPERFO&anioi=2013&aniof=2014&periodicidad=MENSUAL",5
202,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=EPROEF&anioi=2013&aniof=2014&periodicidad=MENSUAL",8
203,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=EQUIPOS&anioi=2013&aniof=2014&periodicidad=MENSUAL",1
204,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=ETERMIN&anioi=2013&aniof=2014&periodicidad=MENSUAL",7
205,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=GBALGLP_G&anioi=2013&aniof=2014&periodicidad=MENSUAL",5
206,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=GBALGSE_G&anioi=2013&aniof=2014&periodicidad=MENSUAL",3
207,"http://utilnet.bdi.pemex.com/DatosAbiertosSW/bdi.asmx/bdiDatosAbiertos?cvecua=GPROD_G&anioi=2013&aniof=2014&periodicidad=MENSUAL",4
